Time,Values[Absorbance_0.59],Values[Absorbance_1.53],Values[Absorbance_6.6],Values[Absorbance_500],[sGC{[NO]=0.59}],[6C-sGC-NO{[NO]=0.59}],[5C-sGC-NO{[NO]=0.59}],[NO{[NO]=0.59}],[sGC{[NO]=1.53}],[6C-sGC-NO{[NO]=1.53}],[5C-sGC-NO{[NO]=1.53}],[NO{[NO]=1.53}],[sGC{[NO]=6.6}],[6C-sGC-NO{[NO]=6.6}],[5C-sGC-NO{[NO]=6.6}],[NO{[NO]=6.6}],[sGC{[NO]=500}],[6C-sGC-NO{[NO]=500}],[5C-sGC-NO{[NO]=500}],[NO{[NO]=500}]
7.70164e-05,0.0580892,0.057788,0.05622,0.0309912,4.66711e-07,3.28944e-09,2.46861e-14,5.86711e-07,4.61517e-07,8.48273e-09,1.65133e-13,1.52152e-06,4.34484e-07,3.55126e-08,3.01002e-12,6.56448e-06,1.20766e-09,4.6385e-07,4.94268e-09,0.000499531
7.96394e-05,0.0580828,0.0577714,0.0561529,0.0309743,4.66599e-07,3.40075e-09,2.63892e-14,5.86599e-07,4.61232e-07,8.76811e-09,1.76504e-13,1.52123e-06,4.33326e-07,3.66704e-08,3.21514e-12,6.56333e-06,9.85702e-10,4.63871e-07,5.14325e-09,0.000499531
8.22625e-05,0.0580763,0.0577549,0.0560859,0.0309598,4.66488e-07,3.512e-09,2.81486e-14,5.86488e-07,4.60947e-07,9.05326e-09,1.88248e-13,1.52095e-06,4.32172e-07,3.78249e-08,3.42678e-12,6.56217e-06,8.04538e-10,4.63852e-07,5.34383e-09,0.000499531
8.48856e-05,0.0580699,0.0577384,0.0560191,0.0309472,4.66377e-07,3.62321e-09,2.99643e-14,5.86377e-07,4.60662e-07,9.33817e-09,2.00366e-13,1.52066e-06,4.3102e-07,3.89761e-08,3.64494e-12,6.56102e-06,6.56673e-10,4.63799e-07,5.54439e-09,0.000499531
8.75087e-05,0.0580634,0.0577219,0.0559525,0.0309362,4.66266e-07,3.73438e-09,3.18363e-14,5.86266e-07,4.60377e-07,9.62286e-09,2.12856e-13,1.52038e-06,4.29872e-07,4.0124e-08,3.8696e-12,6.55987e-06,5.35986e-10,4.63719e-07,5.74492e-09,0.000499531
9.01318e-05,0.058057,0.0577054,0.0558861,0.0309265,4.66154e-07,3.84549e-09,3.37644e-14,5.86154e-07,4.60092e-07,9.90731e-09,2.25719e-13,1.52009e-06,4.28727e-07,4.12687e-08,4.10072e-12,6.55873e-06,4.37482e-10,4.63617e-07,5.94542e-09,0.00049953
9.27549e-05,0.0580505,0.0576889,0.0558199,0.0309178,4.66043e-07,3.95656e-09,3.57486e-14,5.86043e-07,4.59808e-07,1.01915e-08,2.38955e-13,1.51981e-06,4.27586e-07,4.24101e-08,4.33829e-12,6.55759e-06,3.57083e-10,4.63497e-07,6.14586e-09,0.00049953
9.5378e-05,0.0580441,0.0576724,0.0557538,0.03091,4.65932e-07,4.06758e-09,3.7789e-14,5.85932e-07,4.59524e-07,1.04755e-08,2.52561e-13,1.51952e-06,4.26447e-07,4.35482e-08,4.58229e-12,6.55645e-06,2.91461e-10,4.63362e-07,6.34625e-09,0.00049953
9.80011e-05,0.0580376,0.0576559,0.055688,0.0309029,4.65821e-07,4.17855e-09,3.98854e-14,5.85821e-07,4.5924e-07,1.07593e-08,2.66539e-13,1.51924e-06,4.25312e-07,4.46831e-08,4.83271e-12,6.55531e-06,2.37901e-10,4.63216e-07,6.54658e-09,0.00049953
0.000100624,0.0580312,0.0576395,0.0556223,0.0308963,4.6571e-07,4.28947e-09,4.20378e-14,5.8571e-07,4.58957e-07,1.10428e-08,2.80888e-13,1.51896e-06,4.2418e-07,4.58148e-08,5.08951e-12,6.55418e-06,1.94185e-10,4.63059e-07,6.74684e-09,0.00049953
0.000103247,0.0580248,0.0576231,0.0555569,0.0308903,4.656e-07,4.40035e-09,4.42462e-14,5.856e-07,4.58674e-07,1.13262e-08,2.95607e-13,1.51867e-06,4.23051e-07,4.69433e-08,5.35267e-12,6.55305e-06,1.58504e-10,4.62894e-07,6.94704e-09,0.00049953
